,PBA,PUBCLIM,SQFTC,WLCNS,RFCNS,RFCOOL,RFTILT,BLDSHP,GLSSPC,NFLOOR,FLCEILHT,ATTIC,YRCONC,PBAPLUS,FACIL,GOVOWN,OWNTYPE,OWNOPR,MONUSE,OPNMF,OPNWE,NWKER,WATR,EGYUSED,ELUSED,NGUSED,SOHT1,FKHT2,PRHT2,COHT2,SOHT2,NGCOOL,FKCOOL,PRCOOL,OTCOOL,ELWATR,NGWATR,FKWATR,PRWATR,WOWATR,COWATR,SOWATR,OTWATR,ELCOOK,NGCOOK,FKCOOK,PRCOOK,COCOOK,OTCOOK,NGMANU,FKMANU,PRMANU,HWMANU,OTMANU,NGGENR,PRGENR,COGENR,NGOTH,FKOTH,PROTH,CWOTH,WOOTH,SOOTH,OTOTH,RFGEQP,LTEXPC,PKLT,WINTYP,HDD65,Y_Class
32,25,4,7,3,6,2,1,2,1,1,17,2,8,42,1,2,1,1,12,1,1,115,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,1,3733,1
33,12,5,6,3,2,2,3,7,3,2,50,2,4,21,1,2,4,1,12,2,1,15,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,1.0,1,1523,0
34,26,2,3,1,1,2,2,2,5,1,8,2,2,47,1,2,2,1,12,1,1,10,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,2,6126,0
35,26,3,3,5,5,2,2,2,1,1,16,2,7,48,1,1,9,1,12,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,4,3762,0
36,25,3,2,3,3,2,2,11,3,1,9,2,5,43,2,2,3,2,12,1,1,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,3,5123,0
37,23,5,5,1,6,2,1,2,3,2,20,2,8,50,1,2,1,2,12,1,1,41,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2.0,2.0,1.0,3,1560,0
38,14,3,5,1,6,2,1,8,3,1,8,2,3,28,1,1,10,1,10,1,2,45,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,3592,0
39,17,3,7,1,4,2,3,11,3,3,8,1,7,36,1,2,5,1,12,1,1,73,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,6506,1
40,5,5,4,5,5,1,3,3,1,1,9,2,6,11,2,2,3,1,12,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,3.0,2.0,1,1339,0
41,13,2,4,1,6,2,2,2,3,2,22,2,3,24,1,1,10,1,12,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,3,7612,0
42,8,3,8,6,6,1,1,9,5,4,9,2,8,19,1,1,9,1,12,1,1,300,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6509,1
43,2,2,8,1,6,2,1,1,3,994,12,1,2,6,1,2,2,1,12,1,1,1500,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,1,7124,1
44,14,3,9,1,1,1,1,6,4,4,12,1,2,29,1,1,10,1,11,1,1,400,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,4740,1
45,12,4,4,5,5,2,3,2,3,2,20,2,8,21,1,2,4,1,12,1,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,3445,0
46,5,4,6,2,8,2,1,2,3,2,24,2,7,9,2,2,2,2,12,1,2,56,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,668,0
47,1,4,8,4,5,1,3,10,3,6,10,1,8,1,1,2,3,1,0,3,2,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,2,3455,0
48,2,2,8,3,7,2,1,2,2,7,10,2,5,4,2,1,10,1,12,1,1,53,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,5684,1
49,2,5,6,1,7,2,1,2,1,1,15,2,7,7,1,2,3,2,12,1,1,12,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,3,1889,1
50,2,3,7,3,7,1,1,1,3,994,15,2,2,6,1,2,2,1,12,1,1,500,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,4613,1
51,5,2,8,2,6,1,1,2,1,1,30,2,8,9,1,2,2,1,12,1,1,40,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1.0,4.0,1.0,2,5669,1
52,14,3,8,1,6,1,1,11,3,2,10,2,8,29,1,1,10,1,11,1,1,244,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,3,4285,1
53,12,2,5,1,6,2,2,2,2,1,18,2,6,21,2,2,4,1,12,1,1,11,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6142,0
54,16,7,8,3,6,1,1,2,4,6,10,1,8,35,1,2,5,1,12,1,1,400,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,3,511,1
55,26,4,4,1,1,1,1,2,1,1,10,2,4,47,1,1,8,1,12,1,1,6,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,3,3147,0
56,6,2,7,2,5,1,1,2,3,1,20,2,6,14,2,2,2,2,12,1,1,50,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,2,6409,1
57,25,5,5,3,4,1,1,2,1,1,17,2,6,42,2,2,2,1,12,1,1,50,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,4,1669,0
58,25,4,8,3,6,1,1,2,1,1,17,2,7,42,2,2,2,1,12,1,1,150,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,4,3331,1
59,25,4,8,3,6,1,1,2,1,1,17,2,8,42,2,2,2,1,12,1,1,150,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,1,3716,1
60,5,2,6,3,4,2,1,2,2,1,16,2,3,9,2,2,2,2,12,1,2,20,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,2.0,3,6951,0
61,15,3,3,1,5,2,3,1,3,2,11,1,2,33,2,2,3,1,12,1,1,6,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,2.0,3,5641,0
62,23,5,4,3,1,1,1,9,3,3,9,1,7,50,2,2,3,1,12,1,1,29,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,1.0,3,1229,0
63,2,7,10,7,6,1,1,2,6,995,9,2,8,6,2,2,2,1,12,1,1,4500,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6443,1
64,26,4,4,4,5,1,2,2,1,1,16,2,4,46,2,2,3,1,12,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,1,2375,0
65,5,4,4,5,5,1,2,2,3,1,25,2,5,10,2,2,3,1,12,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,3.0,1.0,2,3337,0
66,8,2,5,1,4,2,1,1,2,2,9,2,8,18,2,2,2,1,12,1,2,60,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,2.0,2,6648,0
67,5,3,5,2,6,1,2,2,2,3,10,2,7,10,2,2,2,1,12,2,2,14,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,2.0,2,3731,0
68,2,4,4,1,1,2,1,2,3,1,10,2,7,6,2,2,2,1,12,1,2,30,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,1,4085,0
70,2,5,8,1,7,2,1,2,4,8,10,2,8,2,1,2,1,1,12,1,1,435,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,1816,1
71,15,3,3,1,1,2,1,2,2,1,12,2,8,32,2,2,2,1,12,1,1,9,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1.0,2.0,2.0,3,4309,0
72,26,3,2,5,5,1,2,2,2,1,9,1,7,48,2,2,3,1,12,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,2,4609,0
73,13,3,6,3,6,1,1,2,3,3,12,2,5,24,2,2,2,1,12,1,1,35,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,6419,0
74,23,4,4,1,1,1,1,2,1,1,13,1,3,50,2,2,2,2,12,1,1,11,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,1,2838,0
75,14,7,8,1,1,2,3,8,3,9,12,2,2,27,1,1,9,1,12,1,1,162,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,2.0,1,4791,1
76,2,2,3,1,1,2,3,11,2,3,10,1,2,2,1,2,4,1,12,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,3,5719,0
77,13,2,4,5,5,1,2,2,1,1,12,2,4,24,2,2,3,1,7,2,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,1.0,1.0,2,5646,0
78,14,2,2,4,5,1,2,2,3,1,8,1,8,28,1,1,9,1,11,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2,4568,0
79,5,4,7,2,8,1,1,2,2,2,15,2,5,9,1,2,2,2,12,1,2,40,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1.0,1.0,1.0,1,711,0
80,8,1,5,4,6,1,2,2,4,3,12,2,9,18,2,2,3,1,12,2,2,16,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,4.0,1.0,2,8548,0
